iter	Passed	Remaining
402	10979	16265
403	11007	16238
404	11037	16215
405	11066	16190
406	11093	16163
407	11120	16135
408	11149	16110
409	11179	16087
410	11208	16062
411	11236	16035
412	11266	16012
413	11299	15993
414	11328	15969
415	11356	15942
416	11387	15920
417	11420	15900
418	11453	15881
419	11482	15856
420	11511	15831
421	11541	15808
422	11571	15784
423	11599	15757
424	11626	15730
425	11656	15705
426	11685	15681
427	11717	15660
428	11745	15633
429	11774	15608
430	11804	15583
431	11832	15558
432	11861	15532
433	11888	15504
434	11916	15477
435	11945	15452
436	11973	15425
437	12000	15397
438	12026	15368
439	12051	15338
440	12081	15314
441	12108	15286
442	12136	15259
443	12162	15230
444	12191	15205
445	12222	15182
446	12255	15161
447	12287	15140
448	12320	15118
449	12347	15091
450	12377	15066
451	12405	15040
452	12436	15016
453	12465	14991
454	12495	14967
455	12524	14941
456	12555	14918
457	12585	14893
458	12615	14868
459	12646	14845
460	12678	14823
461	12709	14800
462	12740	14776
463	12767	14748
464	12799	14726
465	12828	14700
466	12856	14673
467	12886	14649
468	12918	14626
469	12950	14603
470	12982	14580
471	13016	14560
472	13048	14537
473	13079	14514
474	13109	14489
475	13136	14461
476	13165	14435
477	13197	14411
478	13226	14386
479	13257	14362
480	13291	14341
481	13316	14311
482	13344	14283
483	13368	14252
484	13394	14222
485	13420	14193
486	13444	14162
487	13476	14139
488	13501	14109
489	13526	14078
490	13549	14046
491	13574	14016
492	13599	13986
493	13623	13954
494	13646	13921
495	13670	13890
496	13698	13863
497	13729	13840
498	13755	13810
499	13783	13783
500	13811	13756
501	13840	13729
502	13869	13703
503	13890	13670
504	13915	13639
505	13939	13609
506	13964	13579
507	13988	13548
508	14014	13518
509	14039	13489
510	14065	13459
511	14092	13431
512	14117	13402
513	14141	13371
514	14164	13339
515	14189	13309
516	14212	13277
517	14234	13245
518	14257	13213
519	14280	13182
520	14303	13150
521	14330	13122
522	14356	13093
523	14383	13066
524	14415	13042
525	14443	13015
526	14472	12989
527	14500	12962
528	14526	12933
529	14552	12904
530	14579	12877
531	14605	12848
532	14634	12822
533	14664	12797
534	14694	12771
535	14722	12745
536	14748	12716
537	14772	12685
538	14801	12659
539	14826	12630
540	14853	12601
541	14881	12575
542	14911	12550
543	14938	12522
544	14967	12495
545	14995	12468
546	15027	12445
547	15056	12418
548	15085	12392
549	15111	12363
550	15137	12335
551	15167	12309
552	15198	12285
553	15229	12260
554	15261	12237
555	15289	12209
556	15319	12183
557	15348	12157
558	15380	12134
559	15412	12109
560	15443	12084
561	15472	12058
562	15505	12035
563	15531	12006
564	15565	11983
565	15595	11958
566	15623	11930
567	15650	11903
568	15681	11878
569	15714	11854
570	15743	11828
571	15771	11801
572	15801	11775
573	15833	11751
574	15863	11725
575	15895	11701
576	15923	11673
577	15954	11648
578	15986	11623
579	16017	11599
580	16048	11573
581	16078	11547
582	16106	11520
583	16131	11491
584	16161	11465
585	16188	11436
586	16212	11406
587	16237	11377
588	16262	11347
589	16287	11318
590	16313	11289
591	16340	11261
592	16362	11229
593	16387	11201
594	16410	11170
595	16436	11141
596	16463	11113
597	16488	11083
598	16516	11056
599	16543	11029
600	16570	11001
601	16595	10971
602	16619	10941
603	16643	10912
604	16673	10886
605	16698	10856
606	16724	10828
607	16749	10799
608	16775	10770
609	16802	10742
610	16825	10711
611	16853	10684
612	16878	10655
613	16901	10625
614	16928	10597
615	16955	10569
616	16981	10541
617	17005	10511
618	17030	10482
619	17058	10455
620	17085	10427
621	17110	10398
622	17135	10369
623	17162	10341
624	17188	10312
625	17215	10285
626	17240	10256
627	17267	10228
628	17294	10200
629	17319	10171
630	17342	10141
631	17364	10111
632	17387	10081
633	17409	10050
634	17433	10020
635	17456	9990
636	17477	9959
637	17499	9929
638	17523	9899
639	17553	9873
640	17576	9844
641	17599	9814
642	17622	9784
643	17646	9754
644	17671	9725
645	17695	9697
646	17719	9667
647	17742	9638
648	17765	9608
649	17788	9578
650	17810	9548
651	17832	9517
652	17853	9487
653	17878	9458
654	17906	9431
655	17934	9404
656	17959	9376
657	17981	9345
658	18002	9315
659	18027	9286
660	18056	9260
661	18078	9230
662	18101	9201
663	18129	9173
664	18153	9144
665	18176	9115
666	18197	9085
667	18220	9055
668	18245	9027
669	18271	8999
670	18293	8969
671	18314	8939
672	18336	8909
673	18360	8880
674	18385	8852
675	18407	8822
676	18430	8793
677	18455	8765
678	18478	8735
679	18502	8706
680	18527	8678
681	18551	8650
682	18574	8620
683	18597	8591
684	18620	8562
685	18644	8534
686	18671	8506
687	18698	8479
688	18721	8450
689	18745	8421
690	18767	8392
691	18790	8363
692	18817	8336
693	18840	8307
694	18864	8278
695	18884	8248
696	18909	8220
697	18931	8191
698	18958	8163
699	18983	8135
700	19009	8108
701	19032	8079
702	19057	8051
703	19080	8022
704	19104	7993
705	19125	7964
706	19149	7935
707	19170	7906
708	19194	7877
709	19215	7848
710	19237	7819
711	19268	7794
712	19294	7766
713	19315	7736
714	19340	7709
715	19365	7681
716	19387	7652
717	19410	7623
718	19432	7594
719	19455	7565
720	19483	7539
721	19507	7511
722	19529	7482
723	19556	7455
724	19579	7426
725	19605	7399
726	19631	7372
727	19656	7344
728	19680	7315
729	19702	7287
730	19727	7259
731	19751	7231
732	19773	7202
733	19798	7174
734	19822	7147
735	19849	7120
736	19872	7091
737	19896	7063
738	19922	7036
739	19946	7008
740	19968	6979
741	19991	6951
742	20014	6922
743	20038	6894
744	20059	6866
745	20080	6836
746	20106	6809
747	20132	6782
748	20154	6754
749	20178	6726
750	20200	6697
751	20222	6669
752	20246	6641
753	20269	6613
754	20292	6585
755	20319	6558
756	20341	6529
757	20364	6501
758	20389	6474
759	20417	6447
760	20442	6420
761	20470	6393
762	20495	6366
763	20521	6339
764	20546	6311
765	20571	6284
766	20594	6256
767	20617	6228
768	20643	6201
769	20669	6173
770	20691	6145
771	20713	6117
772	20738	6090
773	20766	6063
774	20788	6035
775	20813	6007
776	20837	5980
777	20860	5952
778	20883	5924
779	20905	5896
780	20932	5869
781	20955	5841
782	20978	5813
783	21003	5786
784	21029	5759
785	21053	5732
786	21077	5704
787	21100	5676
788	21122	5648
789	21145	5620
790	21172	5594
791	21196	5566
792	21218	5538
793	21241	5511
794	21261	5482
795	21285	5454
796	21310	5427
797	21334	5400
798	21356	5372
799	21379	5344
800	21404	5317
801	21430	5290
802	21453	5263
803	21477	5235
804	21500	5208
805	21521	5180
806	21545	5152
807	21570	5125
808	21597	5098
809	21624	5072
810	21648	5045
811	21670	5017
812	21692	4989
813	21717	4962
814	21744	4935
815	21767	4908
816	21788	4880
817	21811	4852
818	21835	4825
819	21861	4798
820	21883	4771
821	21906	4743
822	21928	4716
823	21952	4688
824	21982	4662
825	22013	4637
826	22037	4609
827	22059	4582
828	22084	4555
829	22110	4528
830	22132	4501
831	22156	4473
832	22181	4446
833	22204	4419
834	22227	4392
835	22253	4365
836	22277	4338
837	22301	4311
838	22327	4284
839	22349	4257
840	22376	4230
841	22401	4203
842	22427	4176
843	22453	4150
844	22480	4123
845	22506	4096
846	22539	4071
847	22565	4044
848	22589	4017
849	22617	3991
850	22645	3965
851	22669	3937
852	22697	3911
853	22721	3884
854	22744	3857
855	22769	3830
856	22792	3803
857	22816	3776
858	22839	3748
859	22862	3721
860	22884	3694
861	22906	3667
862	22929	3640
863	22952	3612
864	22977	3586
865	23010	3560
866	23048	3535
867	23081	3510
868	23116	3484
869	23152	3459
870	23181	3433
871	23213	3407
872	23244	3381
873	23274	3355
874	23304	3329
875	23339	3303
876	23368	3277
877	23397	3251
878	23425	3224
879	23455	3198
880	23483	3171
881	23510	3145
882	23538	3118
883	23569	3092
884	23597	3066
885	23633	3040
886	23669	3015
887	23697	2988
888	23732	2963
889	23763	2937
890	23794	2910
891	23825	2884
892	23848	2857
893	23871	2830
894	23893	2803
895	23919	2776
896	23943	2749
897	23969	2722
898	23997	2696
899	24023	2669
900	24046	2642
901	24070	2615
902	24097	2588
903	24121	2561
904	24145	2534
905	24167	2507
906	24189	2480
907	24215	2453
908	24238	2426
909	24262	2399
910	24287	2372
911	24311	2345
912	24335	2318
913	24356	2291
914	24378	2264
915	24402	2237
916	24424	2210
917	24447	2183
918	24470	2156
919	24492	2129
920	24517	2103
921	24540	2076
922	24565	2049
923	24589	2022
924	24616	1995
925	24643	1969
926	24666	1942
927	24690	1915
928	24715	1888
929	24739	1862
930	24761	1835
931	24783	1808
932	24808	1781
933	24832	1754
934	24855	1727
935	24877	1701
936	24898	1674
937	24921	1647
938	24947	1620
939	24974	1594
940	25000	1567
941	25029	1541
942	25059	1514
943	25085	1488
944	25112	1461
945	25138	1434
946	25165	1408
947	25208	1382
948	25232	1356
949	25255	1329
950	25278	1302
951	25304	1275
952	25331	1249
953	25355	1222
954	25385	1196
955	25410	1169
956	25435	1142
957	25459	1116
958	25481	1089
959	25508	1062
960	25536	1036
961	25564	1009
962	25596	983
963	25630	957
964	25659	930
965	25692	904
966	25723	877
967	25753	851
968	25786	824
969	25816	798
970	25850	772
971	25879	745
972	25911	719
973	25943	692
974	25974	666
975	26003	639
976	26038	612
977	26067	586
978	26097	559
979	26128	533
980	26154	506
981	26184	479
982	26212	453
983	26241	426
984	26269	400
985	26302	373
986	26335	346
987	26361	320
988	26389	293
989	26418	266
990	26447	240
991	26475	213
992	26501	186
993	26529	160
994	26556	133
995	26585	106
996	26614	80
997	26642	53
998	26669	26
999	26699	0
