iter	MultiClass
0	1.694842195
1	1.520739076
2	1.397614366
3	1.296958687
4	1.217598223
5	1.155367362
6	1.098675993
7	1.048022071
8	1.008714623
9	0.9723903196
10	0.9428419499
11	0.915996514
12	0.8903884363
13	0.8666004993
14	0.8451359541
15	0.827072137
16	0.8094453238
17	0.7949305614
18	0.7811572827
19	0.769061489
20	0.757523989
21	0.747511993
22	0.7379907247
23	0.7296769472
24	0.7221704626
25	0.7157077549
26	0.707812481
27	0.7002211579
28	0.6939871362
29	0.6883073555
30	0.6837953824
31	0.6784949409
32	0.6743012775
33	0.6704973633
34	0.6666917663
35	0.6614940729
36	0.6580355034
37	0.6540757272
38	0.6511677426
39	0.6478283116
40	0.6444994345
41	0.6416955134
42	0.6385267282
43	0.635493346
44	0.6321579539
45	0.6293952005
46	0.6269740277
47	0.6242548267
48	0.6218493836
49	0.6203832178
50	0.6183458944
51	0.6156978882
52	0.6133910931
53	0.6115759152
54	0.6100080856
55	0.6086522325
56	0.6068704233
57	0.604822533
58	0.6034204551
59	0.6011329802
60	0.5996822522
61	0.5984016827
62	0.5965725897
63	0.5954404791
64	0.593245477
65	0.5926855348
66	0.5909677397
67	0.5898531628
68	0.5888566975
69	0.5866494766
70	0.5846517086
71	0.5829095469
72	0.581725191
73	0.581012672
74	0.5793100555
75	0.578077192
76	0.5766065718
77	0.5749655361
78	0.5734134077
79	0.5724981766
80	0.5717669888
81	0.5699819434
82	0.5685163549
83	0.5670949426
84	0.5661027944
85	0.564930834
86	0.5639441507
87	0.5630410815
88	0.562244687
89	0.5611298575
90	0.5600271231
91	0.5585747476
92	0.558127742
93	0.5570679294
94	0.5562076696
95	0.5552985786
96	0.5546515131
97	0.5537621416
98	0.5530029262
99	0.551692978
100	0.5506345998
101	0.5496849355
102	0.5487071192
103	0.5474015296
104	0.5466201848
105	0.5454683659
106	0.544774709
107	0.5437041446
108	0.5432330815
109	0.5417695845
110	0.5411346557
111	0.5400173588
112	0.5386639879
113	0.5382042201
114	0.5371850403
115	0.5365315518
116	0.5360760735
117	0.5354624011
118	0.5341052238
119	0.5329186345
120	0.532046711
121	0.5314000572
122	0.5304927159
123	0.5294118904
124	0.5283812333
125	0.5273808823
126	0.5262424384
127	0.5257637068
128	0.5251093121
129	0.5245600874
130	0.5236733059
131	0.5229844645
132	0.5221757449
133	0.5205784331
134	0.5198595525
135	0.5192892582
136	0.5185341513
137	0.5179255038
138	0.5172314826
139	0.5164747628
140	0.5154572846
141	0.514596577
142	0.5141992422
143	0.5135508359
144	0.5123660429
145	0.5117902391
146	0.5109240556
147	0.5100386517
148	0.5093688855
149	0.508379399
150	0.5075841223
151	0.5068268621
152	0.5062411446
153	0.5056340937
154	0.5049069814
155	0.5041558462
156	0.5031625703
157	0.5024176977
158	0.5015906487
159	0.5007310967
160	0.4999362832
161	0.4992368948
162	0.4985248839
163	0.4976577249
164	0.4969372584
165	0.4963205238
166	0.4957043041
167	0.4951790591
168	0.4945292765
169	0.4935801663
170	0.4929952483
171	0.4924638097
172	0.4916849226
173	0.4911993146
174	0.4907200805
175	0.4902372731
176	0.4894382249
177	0.4887948476
178	0.4882856792
179	0.487842596
180	0.487155323
181	0.4863359527
182	0.4856364542
183	0.4849586662
184	0.4845448698
185	0.4837333562
186	0.483015409
187	0.482320941
188	0.4821462737
189	0.4816681802
190	0.4810623866
191	0.4805730782
192	0.479982172
193	0.4796784376
194	0.4790291219
195	0.4785113652
196	0.4778665005
197	0.4774947099
198	0.4769864456
199	0.4766559958
200	0.4764466549
201	0.4758299391
202	0.4754071602
203	0.4748722958
204	0.4745291499
205	0.4741263692
206	0.473693004
207	0.4731615923
208	0.47286145
209	0.4722799953
210	0.4716967012
211	0.4710338894
212	0.4705161173
213	0.4702455331
214	0.4695264599
215	0.4690738319
216	0.4685098039
217	0.4681804865
218	0.4677535743
219	0.4672847224
220	0.4670119519
221	0.4667138105
222	0.4663896616
223	0.4659436917
224	0.465478317
225	0.4646753502
226	0.4640090335
227	0.4634339754
228	0.4628655157
229	0.462480955
230	0.4620730911
231	0.4616482115
232	0.4611466103
233	0.4605928205
234	0.4601491729
235	0.4596411969
236	0.4590795032
237	0.4586347124
238	0.4583865778
239	0.4578724452
240	0.4574517016
241	0.4571011922
242	0.4567388349
243	0.4565009783
244	0.4558755027
245	0.4553888052
246	0.4549753051
247	0.4546386893
248	0.4542373708
249	0.4539541082
250	0.4536445678
251	0.4532606029
252	0.4528216269
253	0.4522492363
254	0.4518649592
255	0.4515235072
256	0.4511378308
257	0.4507608821
258	0.4498951006
259	0.4494615878
260	0.4491801743
261	0.4488116362
262	0.4483629045
263	0.447714648
264	0.4472755005
265	0.4468010757
266	0.4462406528
267	0.4458117457
268	0.4453972942
269	0.4449182599
270	0.4445234842
271	0.4442608559
272	0.4438856003
273	0.4436607144
274	0.4430479687
275	0.4425960181
276	0.4422408983
277	0.4418777755
278	0.4416000016
279	0.4412997772
280	0.4410293817
281	0.4406291759
282	0.440326256
283	0.439842332
284	0.4393330105
285	0.439074921
286	0.4388018382
287	0.4384594433
288	0.4381198423
289	0.4376367108
290	0.4371726779
291	0.4369976143
292	0.4366874123
293	0.4364586088
294	0.4357832884
295	0.4355031413
296	0.435023457
297	0.4347664525
298	0.4344976142
299	0.4340019867
300	0.4338607787
301	0.4335172726
302	0.4331344809
303	0.4329307743
304	0.4323678943
305	0.4321258007
306	0.4318434223
307	0.4314291075
308	0.4312488397
309	0.4308700562
310	0.4303560041
311	0.4298750577
312	0.4294788825
313	0.4290238344
314	0.428744034
315	0.428371291
316	0.4280627884
317	0.427643095
318	0.4273729196
319	0.427162688
320	0.4266955119
321	0.4265402596
322	0.4261487753
323	0.4257017866
324	0.4254912194
325	0.4252437921
326	0.4249243494
327	0.4245213166
328	0.4241659868
329	0.4238780835
330	0.4237310827
331	0.4235729672
332	0.4233669315
333	0.4230554995
334	0.4225202528
335	0.4223717988
336	0.4221100909
337	0.4217516037
338	0.4213370951
339	0.4210517533
340	0.4206261753
341	0.4203819375
342	0.4201038211
343	0.4197578282
344	0.4195084545
345	0.4192019812
346	0.4186702014
347	0.41836794
348	0.4181566124
349	0.4178715909
350	0.4176143753
351	0.4173546362
352	0.4169182302
353	0.4164378682
354	0.4161755744
355	0.4159872194
356	0.4156332701
357	0.41537533
358	0.4150212443
359	0.4146882882
360	0.4144297959
361	0.4141195096
362	0.4137722896
363	0.4134275154
364	0.4131122444
365	0.4128904479
366	0.4127007983
367	0.4121338368
368	0.4115548234
369	0.4113179581
370	0.4107368735
371	0.4104706693
372	0.4100197394
373	0.4097297823
374	0.4093179069
375	0.409001185
376	0.4085835822
377	0.4082397657
378	0.4080193762
379	0.4077560735
380	0.4075387785
381	0.4073863766
382	0.406879221
383	0.4064758629
384	0.4059649074
385	0.405484409
386	0.4052268789
387	0.4050581196
388	0.4047638305
389	0.4043266836
390	0.4039616846
391	0.4036913946
392	0.4034429661
393	0.4032745732
394	0.4031807156
395	0.4028617143
396	0.4023702192
397	0.4020663584
398	0.4019516241
399	0.401715838
400	0.4014119507
401	0.400981455
402	0.400554707
403	0.4002664914
404	0.3998703012
405	0.3996213827
406	0.3993593867
407	0.3990288494
408	0.3987879151
409	0.3986112447
410	0.3983678887
411	0.3982580547
412	0.3978816283
413	0.397388223
414	0.3971480249
415	0.3969470705
416	0.3965198477
417	0.3960998052
418	0.3957983847
419	0.3954960033
420	0.3953949799
421	0.3951285731
422	0.3949557629
423	0.3946973034
424	0.3945096481
425	0.3941580468
426	0.3939616263
427	0.3936910003
428	0.3935050992
429	0.3932680007
430	0.3931387178
431	0.3929131655
432	0.3927085702
433	0.3924368353
434	0.3922085072
435	0.3917300395
436	0.391475771
437	0.3912106601
438	0.3907555031
439	0.3906461555
440	0.3901586097
441	0.3898604194
442	0.3896385166
443	0.389509821
444	0.3892334584
445	0.3890471807
446	0.388933141
447	0.3886798819
448	0.3884565339
449	0.3883422888
450	0.388085592
451	0.3879516833
452	0.3877171762
453	0.3874273298
454	0.3872383967
455	0.3870322493
456	0.386744354
457	0.3865009443
458	0.3863290013
459	0.3860066181
460	0.3857759052
461	0.38556059
462	0.3853251346
463	0.385090231
464	0.3848185062
465	0.3845936062
466	0.3843754962
467	0.3841559009
468	0.3839436969
469	0.383830988
470	0.3835020216
471	0.3833000132
472	0.3829479599
473	0.3827469302
474	0.382545328
475	0.3822724118
476	0.3819755755
477	0.3817636972
478	0.3816331501
479	0.3812580219
480	0.3810239606
481	0.3808800321
482	0.3805773152
483	0.3804391669
484	0.3803069689
485	0.3801794805
486	0.3799884275
487	0.3797677536
488	0.3794844496
489	0.3791278423
490	0.3788825669
491	0.378623671
492	0.3784207948
493	0.3781502613
494	0.3780026094
495	0.3779106183
496	0.3776543402
497	0.3774375276
498	0.3772896882
499	0.3770857221
500	0.376780965
501	0.3764148724
502	0.3761551688
503	0.3760566996
504	0.3757508604
505	0.3752988811
506	0.3751608028
507	0.3748203152
508	0.3746193427
509	0.3744844357
510	0.3743665312
511	0.3741641248
512	0.3738002265
513	0.3734455019
514	0.3732539039
515	0.3730235647
516	0.3728716478
517	0.3726747849
518	0.3724813555
519	0.3720126112
520	0.3718103415
521	0.3716953332
522	0.3716203439
523	0.3713072628
524	0.3710371684
525	0.3708453939
526	0.3706356422
527	0.3703498591
528	0.3701387025
529	0.3697760021
530	0.3695426903
531	0.3693135957
532	0.369085049
533	0.3689000025
534	0.3687584934
535	0.3685352225
536	0.3683623182
537	0.3682665714
538	0.3679485393
539	0.3678262902
540	0.3677240997
541	0.3674960735
542	0.3672717896
543	0.3671814199
544	0.3669582734
545	0.366791948
546	0.3665048341
547	0.3663802257
548	0.3661710273
549	0.3661085398
550	0.3657350116
551	0.3655585574
552	0.3653017401
553	0.3651891654
554	0.3648620583
555	0.3647714369
556	0.3646274357
557	0.3644779354
558	0.3642690918
559	0.3640251863
560	0.3638345081
561	0.3637570556
562	0.3635081695
563	0.3634356912
564	0.3632985384
565	0.3631793632
566	0.3630281853
567	0.3629591853
568	0.3627837917
569	0.3625177942
570	0.3622712057
571	0.3620416784
572	0.3618673431
573	0.3615277183
574	0.3614122043
575	0.361100307
576	0.3610003575
577	0.3607837478
578	0.3606068415
579	0.3604218584
580	0.3602588106
581	0.3601189385
582	0.3600269891
583	0.359875309
584	0.359652284
585	0.3594682979
586	0.3592253899
587	0.35902269
588	0.3588684842
589	0.358700211
590	0.358392054
591	0.3581536771
592	0.3581010038
593	0.3578525693
594	0.3576583458
595	0.3575653656
596	0.3574037501
597	0.3572875199
598	0.3570581157
599	0.3568404322
600	0.3565827559
601	0.3564801298
602	0.3561869205
603	0.3559799481
604	0.3556821822
605	0.3554872123
606	0.3553921411
607	0.3552274228
608	0.3550999485
609	0.3548453662
610	0.3545715884
611	0.3542846725
612	0.3541575808
613	0.35402612
614	0.353902615
615	0.3537542838
616	0.3536156309
617	0.3534889903
618	0.3532419656
619	0.3531401065
620	0.3528279067
621	0.3526917305
622	0.3525561112
623	0.3523121665
624	0.3521855516
625	0.3520637916
626	0.3519457965
627	0.351807589
628	0.3515981721
629	0.3514241168
630	0.3512893113
631	0.3511392918
632	0.3509947584
633	0.350817723
634	0.350452542
635	0.3503436689
636	0.3502265275
637	0.3500584235
638	0.3499546096
639	0.3498111792
640	0.3495888513
641	0.349415622
642	0.3492542186
643	0.3490587829
644	0.3489256264
645	0.3488485144
646	0.3487514673
647	0.3485973979
648	0.3484208857
649	0.3482747549
650	0.3481194966
651	0.3480036269
652	0.3478204081
653	0.3476011797
654	0.3474529291
655	0.3473084874
656	0.3470874829
657	0.346958515
658	0.3468706098
659	0.346689998
660	0.3464369088
661	0.3462557609
662	0.3461141077
663	0.3457875711
664	0.3456287874
665	0.3454665777
666	0.3453472468
667	0.3452058728
668	0.3450073731
669	0.3449051947
670	0.344782989
671	0.3445891375
672	0.3444358164
673	0.3443092332
674	0.3441545938
675	0.3440585432
676	0.343960613
677	0.3436964327
678	0.3435339593
679	0.3433985222
680	0.343149619
681	0.3430246117
682	0.3429172181
683	0.3427337293
684	0.3425708258
685	0.3423996151
686	0.3422762283
687	0.3421789358
688	0.3419449558
689	0.3417574605
690	0.3416414862
691	0.3415941028
692	0.341458294
693	0.3413368037
694	0.3412629783
695	0.3411960953
696	0.3410543605
697	0.3409131043
698	0.3408563447
699	0.3406730866
700	0.3405642911
701	0.3404396761
702	0.3402838893
703	0.3401136657
704	0.3399886636
705	0.3398200773
706	0.3396752998
707	0.3395866367
708	0.3392957057
709	0.3391309971
710	0.3390162309
711	0.3387354268
712	0.3384725278
713	0.3384200105
714	0.3380938639
715	0.3379460196
716	0.3378236995
717	0.3377541347
718	0.3376559501
719	0.3375481438
720	0.3374569841
721	0.3373031913
722	0.3371454498
723	0.3369338155
724	0.3368953047
725	0.3367109946
726	0.3366163478
727	0.3364703366
728	0.3363320271
729	0.3361586586
730	0.3360399345
731	0.3358781554
732	0.3357516356
733	0.3355682919
734	0.3352531413
735	0.3350992581
736	0.3349674382
737	0.334900388
738	0.3346444423
739	0.3345686057
740	0.334396532
741	0.334189905
742	0.3341072567
743	0.3340526547
744	0.3339755284
745	0.3338693641
746	0.3335536627
747	0.3334134525
748	0.3333297144
749	0.3332373159
750	0.3331619662
751	0.333041268
752	0.3327108757
753	0.3326146791
754	0.3324283006
755	0.3321632999
756	0.3320374778
757	0.3319436615
758	0.3317482926
759	0.3316321629
760	0.331494944
761	0.3313580775
762	0.3312742832
763	0.3311412756
764	0.330988554
765	0.3307671801
766	0.330620913
767	0.3304456331
768	0.3303235285
769	0.3301530121
770	0.3300690397
771	0.3299633263
772	0.3298614118
773	0.3295650897
774	0.3293948505
775	0.3292387634
776	0.3291091476
777	0.3290453016
778	0.3288986286
779	0.3288016386
780	0.328566319
781	0.3284249408
782	0.3282685058
783	0.3281499964
784	0.3279773283
785	0.327924494
786	0.3278043448
787	0.3276749429
788	0.3275864419
789	0.3273805054
790	0.3272205374
791	0.3270386209
792	0.3269236694
793	0.3267648997
794	0.3266759335
795	0.3265498499
796	0.326458815
797	0.3262504289
798	0.3261518624
799	0.3259808747
800	0.3258795436
801	0.325752277
802	0.3255818152
803	0.3254667905
804	0.3253096138
805	0.3252265821
806	0.3250220154
807	0.3249332354
808	0.3248005385
809	0.3246839133
810	0.3246105975
811	0.3244766882
812	0.3242944816
813	0.3241392027
814	0.323874929
815	0.3236304836
816	0.3235533183
817	0.3234749274
818	0.3233909515
819	0.3232908629
820	0.3230623892
821	0.3229727275
822	0.3228155952
823	0.3226198245
824	0.3223488208
825	0.32210065
826	0.3220081138
827	0.3219228321
828	0.3217794623
829	0.3215061792
830	0.3214445483
831	0.3213364826
832	0.3210871014
833	0.3209235019
834	0.3206893537
835	0.3204554308
836	0.3203009247
837	0.3202031644
838	0.3200013316
839	0.3198940672
840	0.3197440005
841	0.3196593165
842	0.319493158
843	0.3193179425
844	0.3192133382
845	0.3190896601
846	0.3189255273
847	0.318843515
848	0.3187313709
849	0.3185430019
850	0.3184277772
851	0.3183628465
852	0.3181849479
853	0.3180298516
854	0.3179244224
855	0.3178130755
856	0.3177294564
857	0.3176469777
858	0.3175040956
859	0.3173094879
